id_evento,id_reporte,fecha_evento,tipo_evento,responsable,observacion
EVT-00015-1,NEXO-147-00015,2026-03-05 01:29,Cruce OSINT,operador.demo2,Evento sintético de seguimiento 1
EVT-00015-2,NEXO-147-00015,2026-03-05 11:29,Asignación a unidad,analista.demo2,Evento sintético de seguimiento 2
EVT-00015-3,NEXO-147-00015,2026-03-05 15:29,Cruce OSINT,operador.demo2,Evento sintético de seguimiento 3
EVT-00016-1,NEXO-147-00016,2026-06-01 15:38,Análisis preliminar,operador.demo2,Evento sintético de seguimiento 1
EVT-00016-2,NEXO-147-00016,2026-06-01 18:38,Actualización de estado,analista.demo2,Evento sintético de seguimiento 2
EVT-00016-3,NEXO-147-00016,2026-06-02 13:38,Asignación a unidad,analista.demo2,Evento sintético de seguimiento 3
EVT-00017-1,NEXO-147-00017,2026-03-26 21:09,Llamada de verificación,director.demo,Evento sintético de seguimiento 1
EVT-00017-2,NEXO-147-00017,2026-03-27 06:09,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 2
EVT-00017-3,NEXO-147-00017,2026-03-26 23:09,Cruce OSINT,analista.demo1,Evento sintético de seguimiento 3
EVT-00018-1,NEXO-147-00018,2025-07-25 05:34,Cruce OSINT,operador.demo2,Evento sintético de seguimiento 1
EVT-00018-2,NEXO-147-00018,2025-07-25 13:34,Registro inicial,director.demo,Evento sintético de seguimiento 2
EVT-00018-3,NEXO-147-00018,2025-07-26 03:34,Análisis preliminar,director.demo,Evento sintético de seguimiento 3
EVT-00019-1,NEXO-147-00019,2026-04-26 10:53,Actualización de estado,operador.demo1,Evento sintético de seguimiento 1
EVT-00019-2,NEXO-147-00019,2026-04-26 14:53,Registro inicial,analista.demo1,Evento sintético de seguimiento 2
EVT-00019-3,NEXO-147-00019,2026-04-27 08:53,Actualización de estado,operador.demo1,Evento sintético de seguimiento 3
EVT-00020-1,NEXO-147-00020,2025-11-01 22:06,Llamada de verificación,director.demo,Evento sintético de seguimiento 1
EVT-00021-1,NEXO-147-00021,2026-03-22 23:40,Cruce OSINT,operador.demo1,Evento sintético de seguimiento 1
EVT-00021-2,NEXO-147-00021,2026-03-23 00:40,Registro inicial,analista.demo2,Evento sintético de seguimiento 2
EVT-00022-1,NEXO-147-00022,2026-05-30 21:41,Cruce OSINT,operador.demo2,Evento sintético de seguimiento 1
EVT-00022-2,NEXO-147-00022,2026-05-31 04:41,Actualización de estado,director.demo,Evento sintético de seguimiento 2
EVT-00023-1,NEXO-147-00023,2026-02-14 21:43,Cruce OSINT,operador.demo1,Evento sintético de seguimiento 1
EVT-00023-2,NEXO-147-00023,2026-02-15 09:43,Llamada de verificación,operador.demo1,Evento sintético de seguimiento 2
EVT-00024-1,NEXO-147-00024,2026-04-19 11:13,Registro inicial,operador.demo1,Evento sintético de seguimiento 1
EVT-00024-2,NEXO-147-00024,2026-04-19 20:13,Actualización de estado,analista.demo2,Evento sintético de seguimiento 2
EVT-00024-3,NEXO-147-00024,2026-04-20 01:13,Actualización de estado,analista.demo2,Evento sintético de seguimiento 3
EVT-00025-1,NEXO-147-00025,2026-05-14 20:29,Análisis preliminar,director.demo,Evento sintético de seguimiento 1
EVT-00025-2,NEXO-147-00025,2026-05-15 03:29,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 2
EVT-00026-1,NEXO-147-00026,2025-08-11 23:20,Registro inicial,director.demo,Evento sintético de seguimiento 1
EVT-00026-2,NEXO-147-00026,2025-08-12 03:20,Asignación a unidad,operador.demo2,Evento sintético de seguimiento 2
EVT-00027-1,NEXO-147-00027,2026-03-31 21:18,Llamada de verificación,operador.demo1,Evento sintético de seguimiento 1
EVT-00027-2,NEXO-147-00027,2026-04-01 06:18,Actualización de estado,operador.demo2,Evento sintético de seguimiento 2
EVT-00028-1,NEXO-147-00028,2026-02-20 09:51,Cruce OSINT,analista.demo2,Evento sintético de seguimiento 1
EVT-00029-1,NEXO-147-00029,2025-09-02 10:05,Llamada de verificación,director.demo,Evento sintético de seguimiento 1
EVT-00029-2,NEXO-147-00029,2025-09-02 12:05,Llamada de verificación,operador.demo1,Evento sintético de seguimiento 2
EVT-00030-1,NEXO-147-00030,2025-06-04 20:08,Registro inicial,operador.demo1,Evento sintético de seguimiento 1
EVT-00030-2,NEXO-147-00030,2025-06-04 22:08,Actualización de estado,analista.demo2,Evento sintético de seguimiento 2
EVT-00030-3,NEXO-147-00030,2025-06-05 02:08,Registro inicial,analista.demo1,Evento sintético de seguimiento 3
EVT-00031-1,NEXO-147-00031,2026-04-09 20:59,Actualización de estado,operador.demo2,Evento sintético de seguimiento 1
EVT-00032-1,NEXO-147-00032,2026-04-14 14:12,Registro inicial,operador.demo1,Evento sintético de seguimiento 1
EVT-00033-1,NEXO-147-00033,2026-05-23 22:03,Llamada de verificación,analista.demo2,Evento sintético de seguimiento 1
EVT-00033-2,NEXO-147-00033,2026-05-24 02:03,Llamada de verificación,director.demo,Evento sintético de seguimiento 2
EVT-00033-3,NEXO-147-00033,2026-05-24 12:03,Registro inicial,operador.demo2,Evento sintético de seguimiento 3
EVT-00034-1,NEXO-147-00034,2025-09-28 18:01,Asignación a unidad,analista.demo1,Evento sintético de seguimiento 1
EVT-00034-2,NEXO-147-00034,2025-09-28 22:01,Asignación a unidad,operador.demo2,Evento sintético de seguimiento 2
EVT-00035-1,NEXO-147-00035,2025-12-09 08:23,Asignación a unidad,director.demo,Evento sintético de seguimiento 1
EVT-00036-1,NEXO-147-00036,2026-05-28 23:41,Actualización de estado,analista.demo1,Evento sintético de seguimiento 1
EVT-00036-2,NEXO-147-00036,2026-05-29 00:41,Llamada de verificación,analista.demo2,Evento sintético de seguimiento 2
EVT-00036-3,NEXO-147-00036,2026-05-29 11:41,Registro inicial,analista.demo2,Evento sintético de seguimiento 3
EVT-00037-1,NEXO-147-00037,2025-02-09 00:12,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 1
EVT-00038-1,NEXO-147-00038,2026-03-17 23:06,Llamada de verificación,director.demo,Evento sintético de seguimiento 1
EVT-00038-2,NEXO-147-00038,2026-03-18 03:06,Análisis preliminar,operador.demo1,Evento sintético de seguimiento 2
EVT-00039-1,NEXO-147-00039,2025-10-21 19:25,Análisis preliminar,operador.demo1,Evento sintético de seguimiento 1
EVT-00039-2,NEXO-147-00039,2025-10-22 02:25,Registro inicial,operador.demo2,Evento sintético de seguimiento 2
EVT-00039-3,NEXO-147-00039,2025-10-22 11:25,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 3
EVT-00040-1,NEXO-147-00040,2025-06-16 08:10,Análisis preliminar,operador.demo1,Evento sintético de seguimiento 1
EVT-00040-2,NEXO-147-00040,2025-06-16 12:10,Asignación a unidad,analista.demo1,Evento sintético de seguimiento 2
EVT-00041-1,NEXO-147-00041,2026-02-24 18:46,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 1
EVT-00041-2,NEXO-147-00041,2026-02-24 21:46,Asignación a unidad,operador.demo2,Evento sintético de seguimiento 2
EVT-00042-1,NEXO-147-00042,2025-05-07 09:40,Cruce OSINT,analista.demo2,Evento sintético de seguimiento 1
EVT-00042-2,NEXO-147-00042,2025-05-07 17:40,Llamada de verificación,director.demo,Evento sintético de seguimiento 2
EVT-00042-3,NEXO-147-00042,2025-05-07 19:40,Actualización de estado,operador.demo2,Evento sintético de seguimiento 3
EVT-00043-1,NEXO-147-00043,2025-05-31 09:43,Análisis preliminar,operador.demo1,Evento sintético de seguimiento 1
EVT-00043-2,NEXO-147-00043,2025-05-31 14:43,Actualización de estado,operador.demo1,Evento sintético de seguimiento 2
EVT-00044-1,NEXO-147-00044,2026-04-17 05:44,Análisis preliminar,operador.demo1,Evento sintético de seguimiento 1
EVT-00044-2,NEXO-147-00044,2026-04-17 07:44,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 2
EVT-00044-3,NEXO-147-00044,2026-04-17 13:44,Llamada de verificación,operador.demo1,Evento sintético de seguimiento 3
EVT-00045-1,NEXO-147-00045,2026-04-25 23:44,Asignación a unidad,director.demo,Evento sintético de seguimiento 1
EVT-00045-2,NEXO-147-00045,2026-04-26 01:44,Llamada de verificación,operador.demo2,Evento sintético de seguimiento 2
EVT-00046-1,NEXO-147-00046,2025-03-19 00:56,Asignación a unidad,operador.demo2,Evento sintético de seguimiento 1
EVT-00047-1,NEXO-147-00047,2025-06-09 20:50,Actualización de estado,analista.demo2,Evento sintético de seguimiento 1
EVT-00048-1,NEXO-147-00048,2025-04-27 12:02,Llamada de verificación,analista.demo2,Evento sintético de seguimiento 1
EVT-00049-1,NEXO-147-00049,2026-05-02 16:32,Análisis preliminar,operador.demo2,Evento sintético de seguimiento 1
EVT-00050-1,NEXO-147-00050,2025-11-09 20:10,Registro inicial,analista.demo1,Evento sintético de seguimiento 1
EVT-00051-1,NEXO-147-00051,2026-05-29 02:22,Registro inicial,analista.demo1,Evento sintético de seguimiento 1
EVT-00051-2,NEXO-147-00051,2026-05-29 14:22,Asignación a unidad,director.demo,Evento sintético de seguimiento 2
EVT-00052-1,NEXO-147-00052,2026-05-04 06:44,Llamada de verificación,analista.demo2,Evento sintético de seguimiento 1
EVT-00053-1,NEXO-147-00053,2025-01-09 12:03,Llamada de verificación,analista.demo1,Evento sintético de seguimiento 1
EVT-00053-2,NEXO-147-00053,2025-01-09 15:03,Actualización de estado,analista.demo2,Evento sintético de seguimiento 2
EVT-00053-3,NEXO-147-00053,2025-01-10 02:03,Análisis preliminar,operador.demo1,Evento sintético de seguimiento 3
EVT-00054-1,NEXO-147-00054,2026-05-14 08:23,Registro inicial,operador.demo1,Evento sintético de seguimiento 1
EVT-00055-1,NEXO-147-00055,2025-12-19 23:58,Cruce OSINT,analista.demo2,Evento sintético de seguimiento 1
EVT-00056-1,NEXO-147-00056,2026-05-30 18:49,Análisis preliminar,operador.demo1,Evento sintético de seguimiento 1
EVT-00057-1,NEXO-147-00057,2026-05-30 22:48,Llamada de verificación,analista.demo2,Evento sintético de seguimiento 1
EVT-00057-2,NEXO-147-00057,2026-05-31 05:48,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 2
EVT-00058-1,NEXO-147-00058,2026-03-16 07:55,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 1
EVT-00059-1,NEXO-147-00059,2026-03-25 09:30,Registro inicial,operador.demo2,Evento sintético de seguimiento 1
EVT-00059-2,NEXO-147-00059,2026-03-25 16:30,Actualización de estado,analista.demo2,Evento sintético de seguimiento 2
EVT-00059-3,NEXO-147-00059,2026-03-25 17:30,Análisis preliminar,director.demo,Evento sintético de seguimiento 3
EVT-00060-1,NEXO-147-00060,2025-04-02 05:03,Análisis preliminar,operador.demo2,Evento sintético de seguimiento 1
EVT-00061-1,NEXO-147-00061,2026-01-24 19:53,Cruce OSINT,operador.demo2,Evento sintético de seguimiento 1
EVT-00061-2,NEXO-147-00061,2026-01-25 00:53,Cruce OSINT,analista.demo2,Evento sintético de seguimiento 2
EVT-00062-1,NEXO-147-00062,2025-09-30 16:23,Llamada de verificación,director.demo,Evento sintético de seguimiento 1
EVT-00063-1,NEXO-147-00063,2025-07-28 18:40,Análisis preliminar,operador.demo2,Evento sintético de seguimiento 1
EVT-00063-2,NEXO-147-00063,2025-07-29 06:40,Llamada de verificación,director.demo,Evento sintético de seguimiento 2
EVT-00063-3,NEXO-147-00063,2025-07-29 06:40,Asignación a unidad,analista.demo2,Evento sintético de seguimiento 3
EVT-00064-1,NEXO-147-00064,2026-03-22 16:30,Asignación a unidad,analista.demo1,Evento sintético de seguimiento 1
EVT-00064-2,NEXO-147-00064,2026-03-22 20:30,Cruce OSINT,analista.demo2,Evento sintético de seguimiento 2
EVT-00065-1,NEXO-147-00065,2026-03-07 22:09,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 1
EVT-00066-1,NEXO-147-00066,2025-03-28 11:37,Actualización de estado,director.demo,Evento sintético de seguimiento 1
EVT-00066-2,NEXO-147-00066,2025-03-28 13:37,Asignación a unidad,director.demo,Evento sintético de seguimiento 2
EVT-00067-1,NEXO-147-00067,2025-08-15 09:58,Registro inicial,operador.demo1,Evento sintético de seguimiento 1
EVT-00067-2,NEXO-147-00067,2025-08-15 19:58,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 2
EVT-00068-1,NEXO-147-00068,2025-12-06 19:40,Llamada de verificación,analista.demo1,Evento sintético de seguimiento 1
EVT-00068-2,NEXO-147-00068,2025-12-06 21:40,Cruce OSINT,director.demo,Evento sintético de seguimiento 2
EVT-00068-3,NEXO-147-00068,2025-12-07 01:40,Asignación a unidad,analista.demo2,Evento sintético de seguimiento 3
EVT-00069-1,NEXO-147-00069,2025-06-19 09:52,Actualización de estado,analista.demo2,Evento sintético de seguimiento 1
EVT-00069-2,NEXO-147-00069,2025-06-19 18:52,Registro inicial,operador.demo2,Evento sintético de seguimiento 2
EVT-00069-3,NEXO-147-00069,2025-06-19 23:52,Cruce OSINT,operador.demo1,Evento sintético de seguimiento 3
EVT-00070-1,NEXO-147-00070,2026-04-17 10:43,Cruce OSINT,analista.demo1,Evento sintético de seguimiento 1
EVT-00070-2,NEXO-147-00070,2026-04-17 11:43,Actualización de estado,analista.demo2,Evento sintético de seguimiento 2
EVT-00071-1,NEXO-147-00071,2025-12-25 18:47,Registro inicial,operador.demo2,Evento sintético de seguimiento 1
EVT-00071-2,NEXO-147-00071,2025-12-26 02:47,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 2
EVT-00072-1,NEXO-147-00072,2025-04-03 07:00,Registro inicial,operador.demo2,Evento sintético de seguimiento 1
EVT-00073-1,NEXO-147-00073,2025-09-16 16:49,Cruce OSINT,director.demo,Evento sintético de seguimiento 1
EVT-00073-2,NEXO-147-00073,2025-09-16 21:49,Registro inicial,analista.demo2,Evento sintético de seguimiento 2
EVT-00073-3,NEXO-147-00073,2025-09-17 14:49,Análisis preliminar,operador.demo2,Evento sintético de seguimiento 3
EVT-00074-1,NEXO-147-00074,2025-11-01 09:46,Registro inicial,analista.demo2,Evento sintético de seguimiento 1
EVT-00075-1,NEXO-147-00075,2025-06-22 14:40,Cruce OSINT,director.demo,Evento sintético de seguimiento 1
EVT-00075-2,NEXO-147-00075,2025-06-22 22:40,Llamada de verificación,operador.demo1,Evento sintético de seguimiento 2
EVT-00075-3,NEXO-147-00075,2025-06-23 12:40,Llamada de verificación,director.demo,Evento sintético de seguimiento 3
EVT-00076-1,NEXO-147-00076,2026-03-09 09:01,Asignación a unidad,director.demo,Evento sintético de seguimiento 1
EVT-00076-2,NEXO-147-00076,2026-03-09 20:01,Cruce OSINT,director.demo,Evento sintético de seguimiento 2
EVT-00077-1,NEXO-147-00077,2026-05-22 16:13,Llamada de verificación,analista.demo2,Evento sintético de seguimiento 1
EVT-00077-2,NEXO-147-00077,2026-05-22 22:13,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 2
EVT-00078-1,NEXO-147-00078,2026-01-03 13:05,Actualización de estado,operador.demo2,Evento sintético de seguimiento 1
EVT-00079-1,NEXO-147-00079,2026-03-30 21:37,Asignación a unidad,analista.demo2,Evento sintético de seguimiento 1
EVT-00079-2,NEXO-147-00079,2026-03-31 07:37,Cruce OSINT,operador.demo2,Evento sintético de seguimiento 2
EVT-00079-3,NEXO-147-00079,2026-03-31 01:37,Registro inicial,analista.demo2,Evento sintético de seguimiento 3
EVT-00080-1,NEXO-147-00080,2025-12-29 18:03,Asignación a unidad,analista.demo2,Evento sintético de seguimiento 1
EVT-00080-2,NEXO-147-00080,2025-12-30 05:03,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 2
EVT-00081-1,NEXO-147-00081,2025-11-25 17:24,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 1
EVT-00081-2,NEXO-147-00081,2025-11-26 04:24,Llamada de verificación,operador.demo1,Evento sintético de seguimiento 2
EVT-00082-1,NEXO-147-00082,2026-01-27 17:37,Cruce OSINT,analista.demo1,Evento sintético de seguimiento 1
EVT-00082-2,NEXO-147-00082,2026-01-27 22:37,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 2
EVT-00082-3,NEXO-147-00082,2026-01-28 09:37,Análisis preliminar,operador.demo2,Evento sintético de seguimiento 3
EVT-00083-1,NEXO-147-00083,2026-03-28 17:22,Cruce OSINT,operador.demo1,Evento sintético de seguimiento 1
EVT-00084-1,NEXO-147-00084,2025-08-06 23:49,Cruce OSINT,director.demo,Evento sintético de seguimiento 1
EVT-00085-1,NEXO-147-00085,2025-01-10 18:29,Asignación a unidad,director.demo,Evento sintético de seguimiento 1
EVT-00086-1,NEXO-147-00086,2025-12-26 18:15,Asignación a unidad,director.demo,Evento sintético de seguimiento 1
EVT-00086-2,NEXO-147-00086,2025-12-27 04:15,Llamada de verificación,director.demo,Evento sintético de seguimiento 2
EVT-00087-1,NEXO-147-00087,2026-03-31 18:46,Registro inicial,director.demo,Evento sintético de seguimiento 1
EVT-00087-2,NEXO-147-00087,2026-04-01 05:46,Registro inicial,analista.demo2,Evento sintético de seguimiento 2
EVT-00088-1,NEXO-147-00088,2026-04-11 23:22,Registro inicial,operador.demo1,Evento sintético de seguimiento 1
EVT-00088-2,NEXO-147-00088,2026-04-12 02:22,Cruce OSINT,operador.demo1,Evento sintético de seguimiento 2
EVT-00089-1,NEXO-147-00089,2026-02-19 22:50,Registro inicial,analista.demo2,Evento sintético de seguimiento 1
EVT-00089-2,NEXO-147-00089,2026-02-20 06:50,Registro inicial,analista.demo2,Evento sintético de seguimiento 2
EVT-00089-3,NEXO-147-00089,2026-02-20 06:50,Asignación a unidad,analista.demo1,Evento sintético de seguimiento 3
EVT-00090-1,NEXO-147-00090,2025-07-03 15:42,Cruce OSINT,director.demo,Evento sintético de seguimiento 1
EVT-00090-2,NEXO-147-00090,2025-07-03 19:42,Registro inicial,analista.demo2,Evento sintético de seguimiento 2
EVT-00090-3,NEXO-147-00090,2025-07-03 17:42,Llamada de verificación,analista.demo1,Evento sintético de seguimiento 3
EVT-00091-1,NEXO-147-00091,2025-11-12 16:13,Actualización de estado,operador.demo2,Evento sintético de seguimiento 1
EVT-00092-1,NEXO-147-00092,2025-08-16 16:09,Asignación a unidad,operador.demo2,Evento sintético de seguimiento 1
EVT-00092-2,NEXO-147-00092,2025-08-17 01:09,Registro inicial,analista.demo1,Evento sintético de seguimiento 2
EVT-00093-1,NEXO-147-00093,2026-06-03 22:08,Llamada de verificación,director.demo,Evento sintético de seguimiento 1
EVT-00094-1,NEXO-147-00094,2025-07-22 06:05,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 1
EVT-00094-2,NEXO-147-00094,2025-07-22 14:05,Registro inicial,director.demo,Evento sintético de seguimiento 2
EVT-00095-1,NEXO-147-00095,2025-09-22 10:02,Registro inicial,director.demo,Evento sintético de seguimiento 1
EVT-00096-1,NEXO-147-00096,2025-12-26 07:06,Llamada de verificación,analista.demo1,Evento sintético de seguimiento 1
EVT-00096-2,NEXO-147-00096,2025-12-26 13:06,Asignación a unidad,analista.demo1,Evento sintético de seguimiento 2
EVT-00096-3,NEXO-147-00096,2025-12-27 07:06,Asignación a unidad,analista.demo1,Evento sintético de seguimiento 3
EVT-00097-1,NEXO-147-00097,2026-04-18 06:38,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 1
EVT-00098-1,NEXO-147-00098,2026-04-25 21:51,Actualización de estado,operador.demo2,Evento sintético de seguimiento 1
EVT-00098-2,NEXO-147-00098,2026-04-26 08:51,Análisis preliminar,director.demo,Evento sintético de seguimiento 2
EVT-00099-1,NEXO-147-00099,2026-06-02 23:26,Cruce OSINT,operador.demo2,Evento sintético de seguimiento 1
EVT-00099-2,NEXO-147-00099,2026-06-03 11:26,Asignación a unidad,director.demo,Evento sintético de seguimiento 2
EVT-00099-3,NEXO-147-00099,2026-06-03 03:26,Registro inicial,analista.demo2,Evento sintético de seguimiento 3
EVT-00100-1,NEXO-147-00100,2025-12-17 17:00,Registro inicial,analista.demo1,Evento sintético de seguimiento 1
EVT-00101-1,NEXO-147-00101,2025-09-16 11:47,Cruce OSINT,director.demo,Evento sintético de seguimiento 1
EVT-00101-2,NEXO-147-00101,2025-09-16 22:47,Actualización de estado,analista.demo2,Evento sintético de seguimiento 2
EVT-00102-1,NEXO-147-00102,2025-12-01 07:00,Llamada de verificación,operador.demo2,Evento sintético de seguimiento 1
EVT-00102-2,NEXO-147-00102,2025-12-01 10:00,Análisis preliminar,operador.demo2,Evento sintético de seguimiento 2
EVT-00103-1,NEXO-147-00103,2025-08-03 16:02,Actualización de estado,analista.demo2,Evento sintético de seguimiento 1
EVT-00103-2,NEXO-147-00103,2025-08-03 22:02,Actualización de estado,analista.demo1,Evento sintético de seguimiento 2
EVT-00104-1,NEXO-147-00104,2026-04-29 19:41,Análisis preliminar,analista.demo1,Evento sintético de seguimiento 1
EVT-00104-2,NEXO-147-00104,2026-04-30 00:41,Llamada de verificación,director.demo,Evento sintético de seguimiento 2
EVT-00105-1,NEXO-147-00105,2025-09-23 09:25,Llamada de verificación,operador.demo2,Evento sintético de seguimiento 1
EVT-00105-2,NEXO-147-00105,2025-09-23 14:25,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 2
EVT-00105-3,NEXO-147-00105,2025-09-23 17:25,Análisis preliminar,director.demo,Evento sintético de seguimiento 3
EVT-00106-1,NEXO-147-00106,2026-05-16 06:28,Análisis preliminar,operador.demo2,Evento sintético de seguimiento 1
EVT-00107-1,NEXO-147-00107,2026-04-13 22:44,Cruce OSINT,operador.demo2,Evento sintético de seguimiento 1
EVT-00108-1,NEXO-147-00108,2026-05-28 07:56,Actualización de estado,director.demo,Evento sintético de seguimiento 1
EVT-00108-2,NEXO-147-00108,2026-05-28 13:56,Actualización de estado,operador.demo2,Evento sintético de seguimiento 2
EVT-00109-1,NEXO-147-00109,2026-03-18 19:07,Llamada de verificación,analista.demo2,Evento sintético de seguimiento 1
EVT-00109-2,NEXO-147-00109,2026-03-18 23:07,Análisis preliminar,operador.demo2,Evento sintético de seguimiento 2
EVT-00110-1,NEXO-147-00110,2026-01-30 07:19,Asignación a unidad,director.demo,Evento sintético de seguimiento 1
EVT-00111-1,NEXO-147-00111,2026-04-05 13:14,Actualización de estado,director.demo,Evento sintético de seguimiento 1
EVT-00112-1,NEXO-147-00112,2026-05-21 18:13,Actualización de estado,director.demo,Evento sintético de seguimiento 1
EVT-00112-2,NEXO-147-00112,2026-05-21 23:13,Cruce OSINT,operador.demo2,Evento sintético de seguimiento 2
EVT-00113-1,NEXO-147-00113,2026-04-30 15:59,Análisis preliminar,operador.demo1,Evento sintético de seguimiento 1
EVT-00113-2,NEXO-147-00113,2026-05-01 00:59,Cruce OSINT,analista.demo1,Evento sintético de seguimiento 2
EVT-00113-3,NEXO-147-00113,2026-04-30 21:59,Llamada de verificación,analista.demo2,Evento sintético de seguimiento 3
EVT-00114-1,NEXO-147-00114,2026-05-29 23:15,Registro inicial,analista.demo1,Evento sintético de seguimiento 1
EVT-00114-2,NEXO-147-00114,2026-05-30 02:15,Cruce OSINT,analista.demo1,Evento sintético de seguimiento 2
EVT-00115-1,NEXO-147-00115,2026-01-20 11:07,Cruce OSINT,director.demo,Evento sintético de seguimiento 1
EVT-00115-2,NEXO-147-00115,2026-01-20 16:07,Asignación a unidad,analista.demo1,Evento sintético de seguimiento 2
EVT-00116-1,NEXO-147-00116,2026-04-11 02:45,Registro inicial,operador.demo1,Evento sintético de seguimiento 1
EVT-00117-1,NEXO-147-00117,2026-01-26 18:46,Cruce OSINT,operador.demo1,Evento sintético de seguimiento 1
EVT-00117-2,NEXO-147-00117,2026-01-27 06:46,Actualización de estado,analista.demo2,Evento sintético de seguimiento 2
EVT-00118-1,NEXO-147-00118,2025-07-03 07:50,Asignación a unidad,director.demo,Evento sintético de seguimiento 1
EVT-00118-2,NEXO-147-00118,2025-07-03 19:50,Análisis preliminar,analista.demo2,Evento sintético de seguimiento 2
EVT-00118-3,NEXO-147-00118,2025-07-03 15:50,Análisis preliminar,analista.demo1,Evento sintético de seguimiento 3
EVT-00119-1,NEXO-147-00119,2025-08-13 07:53,Asignación a unidad,operador.demo1,Evento sintético de seguimiento 1
EVT-00119-2,NEXO-147-00119,2025-08-13 13:53,Cruce OSINT,analista.demo1,Evento sintético de seguimiento 2
